selection1_name,selection1_url
Connection issue router,
,
,
"Ann WelshJan 6, 2019, 4:46 PM
I have a Linksys E1200 and I am having to do a cold boot (unplug it and replug it in the reset button does not work) to it about every week. I will have internet(wireless) on my device and then one of them will claim that it is not getting signal (connecting, saved, secerd over and over again) I will have signal on the other device (never the same device each time). I cannot look at the settings for the router even when though I still have internet when connected though I can still search the web. I have already updated the firmware. I was wondering what I could do to fix this issue.",
"Ann WelshJan 6, 2019, 4:46 PM",
Ann Welsh,
Ann Welsh,
"Jan 6, 2019, 4:46 PM",
"Jan 6, 2019, 4:46 PM",
"I have a Linksys E1200 and I am having to do a cold boot (unplug it and replug it in the reset button does not work) to it about every week. I will have internet(wireless) on my device and then one of them will claim that it is not getting signal (connecting, saved, secerd over and over again) I will have signal on the other device (never the same device each time). I cannot look at the settings for the router even when though I still have internet when connected though I can still search the web. I have already updated the firmware. I was wondering what I could do to fix this issue.",
19 answers,
19,
"Last reply Jan 12, 2019",
Last reply,
"Jan 12, 2019",
"Jan 12, 2019",
More about,
connection issue router,
,
"Rogue LeaderJan 8, 2019, 8:29 PM
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work
2. Ensure the Router's IP address is not within your DHCP range
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses.
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.
Ann WelshJan 8, 2019, 8:52 PM
Rogue Leader said:
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work Done that and a week later did the same effing thing
2. Ensure the Router's IP address is not within your DHCP range not within range
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. It is as the device reconnect to the address they have had before
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.
Had it too long for them to help
Related Resources
Router connection/speed issue?
Connection speed issue with Netgear Wireless-N 300 Router with DSL Modem
Issue from sharing internet connection from computer to router when the computer is turned off
router connection issue
Simple (!) 2 router connection issue
Can't find your answer ? Ask !
Get the answer
Rogue LeaderJan 9, 2019, 7:14 AM
Ann Welsh said:
Had it too long for them to help
Again, please try what i suggested and reply directly to each step. If you don't do this I cannot help you.
popatimJan 9, 2019, 2:19 PM
Try Updating the Firmware.
https://www.linksys.com/us/support-article?articleNum=148523
Ann WelshJan 9, 2019, 6:41 PM
popatim said:
Try Updating the Firmware.
https://www.linksys.com/us/support-article?articleNum=148523
Last part says ""I have already updated the firmware. I was wondering what I could do to fix this issue.""
Ann WelshJan 9, 2019, 6:42 PM
Rogue Leader said:
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work I HAVE ALREADY DONE THIS AND HAD THE SAME ISSUE
2. Ensure the Router's IP address is not within your DHCP range I HAVE CHECK IT IS NOT IN THE RANGE
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. THE DEVICE ARE BEING GIVING THE SAME IP ADDRESS
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.
Rogue LeaderJan 9, 2019, 8:28 PM
Ann Welsh said:
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. THE DEVICE ARE BEING GIVING THE SAME IP ADDRESS
Are you saying they are getting conflicting IP addresses?
Ann WelshJan 11, 2019, 2:00 PM
No. Say device 1 has 1.111.1.101 and device two has .102 the issue happens unplug replug device one has 101 device two has 102
Rogue LeaderJan 11, 2019, 2:12 PM
Ok at this point you need Linksys involved, it sounds like your router is defective.
Ann WelshJan 11, 2019, 4:05 PM
too old
Rogue LeaderJan 11, 2019, 5:33 PM
Ann Welsh said:
too old
If their tech support hasn't responded, then maybe its time to consider a replacement, and a different brand. I use D-Link and have not had problems.
Ann WelshJan 11, 2019, 6:12 PM
Rogue Leader said:
Ann Welsh said:
too old
If their tech support hasn't responded, then maybe its time to consider a replacement, and a different brand. I use D-Link and have not had problems.
Not everyone can just go buy a new router aftyer less then having a router less then a year
Gam3r01Jan 11, 2019, 6:15 PM
Routers arent all that expensive.
But on a more important note, if that router is less than a year old then it is most certainly under warranty, which is default 1 year.
Ann WelshJan 11, 2019, 6:19 PM
been told it is not under anything
Gam3r01Jan 11, 2019, 6:20 PM
Call again:
https://www.linksys.com/us/support-article/?articleNum=135959
If its under 1 year its covered.
Ann WelshJan 11, 2019, 6:25 PM
Gam3r01 said:
Call again:
https://www.linksys.com/us/support-article/?articleNum=135959
If its under 1 year its covered.
I was tolkd it is not covered because I did not sign up for warrenty with it
Gam3r01Jan 11, 2019, 6:33 PM
Read the warranty terms, you dont have to sign up for anything.
Rogue LeaderJan 11, 2019, 8:17 PM
Ann Welsh said:
Not everyone can just go buy a new router aftyer less then having a router less then a year
When you say something like ""too old"" after you tell me you contacted linksys and they never contact you back, then you get the assumption that the router is beyond warranty.
As Gamer pointed out the router is still under warranty, clearly you have an issue that can be solved by the warranty.
As for me, I have been helping you since you first asked this question on discord and you have done nothing but ignore me and treat me with disrespect by not even giving me the courtesy of providing me with the complete story or answering my questions.
So, I'm done with you and this thread, call linksys, good luck.
Ann WelshJan 12, 2019, 12:13 PM
Rogue Leader said:
Ann Welsh said:
Not everyone can just go buy a new router aftyer less then having a router less then a year
When you say something like ""too old"" after you tell me you contacted linksys and they never contact you back, then you get the assumption that the router is beyond warranty.
As Gamer pointed out the router is still under warranty, clearly you have an issue that can be solved by the warranty.
As for me, I have been helping you since you first asked this question on discord and you have done nothing but ignore me and treat me with disrespect by not even giving me the courtesy of providing me with the complete story or answering my questions.
So, I'm done with you and this thread, call linksys, good luck.
Fine be done with me. I am done with rude people that think they know it all even after someone has told them some MANY times",
